lon,lat,Type,Covered,Fuel,Tourism,Source,Fee,Designation,Access,Burners,Issues,Note,Description,Leisure,Name,Bin,Postcode,Suburb,Geometry,Elevation,MSL,Elevation Source,Operator
144.9623043,-37.7851195,,,,,,,,,,,,,,,,,,,,,,
144.9690736,-37.7856729,,,,,,,,,,,,,,,,,,,,,,
145.2919197,-37.8898885,electric,,,,,,,,,,,,,,,,,,,,,
144.905902,-37.7930181,,,,,,,,,,,,,,,,,,,,,,
144.9065886,-37.7933572,,,,,,,,,,,,,,,,,,,,,,
144.8853083,-37.8171491,,,,,,,,,,,,,,,,,,,,,,
145.3213947,-37.8003983,,,,,,,,,,,,,,,,,,,,,,
145.0450398,-37.9217679,,,,,,,,,,,,,,,,,,,,,,
145.0431784,-37.922406,,,,,,,,,,,,,,,,,,,,,,
145.2272796,-37.9660549,,,,,,,,,,,,,,,,,,,,,,
145.2224342,-37.9461035,,,,,,,,,,,,,,,,,,,,,,
145.1407278,-37.9071862,,,,,,,,,,,,,,,,,,,,,,
145.1304769,-37.9103604,,,,,,,,,,,,,,,,,,,,,,
145.4840689,-38.0745183,,yes,electric,,,,,,,,,,,,,,,,,,,
144.5822016,-37.4213338,,,,,,,,,,,,,,,,,,,,,,
145.6043816,-37.6141477,,,,,,,,,,,,,,,,,,,,,,
144.9642836,-37.7603355,,,,,,,,,,,,,,,,,,,,,,
144.901134,-37.7068358,,,,,,,,,,,,,,,,,,,,,,
144.8876284,-37.6947286,,,,,,,,,,,,,,,,,,,,,,
145.0192808,-37.7971574,,,electric,,,,,,,,,,,,,,,,,,,
145.0086656,-37.8009435,,,electric,,,,,,,,,,,,,,,,,,,
145.0093019,-37.8007919,,,electric,,,,,,,,,,,,,,,,,,,
145.2104438,-37.7409738,,,electric,,,,,,,,,,,,,,,,,,,
144.921081,-37.7045013,,,,,,,,,,,,,,,,,,,,,,
144.985534,-37.8055659,,,electric,,,,,,,,,,,,,,,,,,,
145.0401373,-37.8387087,,,,,,,,,,,,,,,,,,,,,,
144.9529302,-37.7868311,,,,,,,,,,,,,,,,,,,,,,
144.952985,-37.7869893,,,,,,,,,,,,,,,,,,,,,,
144.9472737,-37.8219959,,,,,,,,,,,,,,,,,,,,,,
144.939865,-37.7795033,,,,,,,,,,,,,,,,,,,,,,
144.98727,-37.8390381,,,,,,,,,,,,,,,,,,,,,,
145.1158946,-37.909442,,,,,,,,,,,,,,,,,,,,,,
145.3772244,-38.2150898,,,,,,,,,,,,,,,,,,,,,,
144.9403775,-37.7937134,,,,,,,,,,,,,,,,,,,,,,
144.9103489,-37.8307907,,,,,,,,,,,,,,,,,,,,,,
144.943413,-37.7990839,,,,,,,,,,,,,,,,,,,,,,
144.9740703,-37.8669481,,,,picnic_site,,,,,,,,,,,,,,,,,,
144.9441336,-37.7709749,,,,,,,,,,,,,,,,,,,,,,
144.9769929,-37.8804838,,,electric,,,,,,,,,,,,,,,,,,,
144.9769031,-37.8804324,,,electric,,,,,,,,,,,,,,,,,,,
144.9765732,-37.881455,,,electric,,,,,,,,,,,,,,,,,,,
144.9765155,-37.881736,,,electric,,,,,,,,,,,,,,,,,,,
145.19241,-37.8970813,,,wood,,,,,,,,,,,,,,,,,,,
145.2166961,-37.9913229,,,,,,,,,,,,,,,,,,,,,,
145.2865645,-37.8760648,,,,,,,,,,,,,,,,,,,,,,
145.286535,-37.876267,,,,,,,,,,,,,,,,,,,,,,
145.2865525,-37.8761897,,,,,,,,,,,,,,,,,,,,,,
145.088163,-37.669847,,,,picnic_site,,,,,,,,,,,,,,,,,,
145.0884239,-37.6696556,,,,picnic_site,,,,,,,,,,,,,,,,,,
145.3930414,-37.9705743,,,,,,,,,,,,,,,,,,,,,,
144.3903198,-38.0213895,,,,,,,,,,,,,,,,,,,,,,
144.8444816,-37.8679719,,,,,,,,,,,,,,,,,,,,,,
145.6761078,-38.0917662,,,,,,,,,,,,,,,,,,,,,,
145.1899246,-37.821051,,,,,,,,,,,,,,,,,,,,,,
145.1872169,-37.8237481,,,,,,,,,,,,,,,,,,,,,,
144.8760816,-37.6911222,,,,,survey,,,,,,,,,,,,,,,,,
144.954882,-37.8095768,,,,,,,,,,,,,,,,,,,,,,
144.7636311,-37.7033794,,,,,,,,,,,,,,,,,,,,,,
145.336238,-38.0261093,,,,,,,,,,,,,,,,,,,,,,
144.994554,-37.802904,,,,,,,,,,,,,,,,,,,,,,
145.0373667,-37.7681765,,,,,,,,,,,,,,,,,,,,,,
144.4268461,-37.9593661,,,electric,,survey,,,,,,,,,,,,,,,,,
144.4262191,-37.9585286,,,electric,,survey,,,,,,,,,,,,,,,,,
145.3792161,-37.7852619,,,,,,,,,,,,,,,,,,,,,,
145.6906567,-37.752579,,yes,electric,,,,,,,,,,,,,,,,,,,
145.6905933,-37.752575,,yes,electric,,,,,,,,,,,,,,,,,,,
145.6918331,-37.7525913,,yes,electric,,,,,,,,,,,,,,,,,,,
145.6922134,-37.7526133,,yes,electric,,,,,,,,,,,,,,,,,,,
145.5504556,-37.9519536,,,,,,,,,,,,,,,,,,,,,,
144.8727188,-37.7687669,,,,,,,,,,,,,,,,,,,,,,
144.8322112,-37.734029,,,,,,,,,,,,,,,,,,,,,,
144.9335693,-37.7606646,,,,,,,,,,,,,,,,,,,,,,
,144.4829168,-37.6302217,,,,,,,,,,,,,,,,,,,,,,
,144.7771734,-37.6897657,,,,,,,,,,,,,,,,,,,,,,
,145.1244188,-37.9050173,,,,,survey,,,,,,,,,,,,,,,,,
,144.9307811,-37.7955634,,,,,,,,,,,,,,,,,,,,,,
,145.0078541,-37.807642,,,,picnic_site,,,,,,,,,,,,,,,,,,
,144.412398,-38.005473,,,,,,,,,,,,,,,,,,,,,,
,145.297282,-38.0570169,,,,,,,,,,,,,,,,,,,,,,
,145.3123355,-38.1202869,,,,,,,,,,,,,,,,,,,,,,
,145.312855,-38.1206087,,,,,,,,,,,,,,,,,,,,,,
,145.3131667,-38.1218288,,,,,,,,,,,,,,,,,,,,,,
,145.2831011,-38.1065045,,,,,,,,,,,,,,,,,,,,,,
,145.2830313,-38.10661,,,,,,,,,,,,,,,,,,,,,,
,145.193292,-37.965046,,,,,,,,,,,,,,,,,,,,,,
,145.1464905,-37.9951744,,,electric,,,,,,,,,,,,,,,,,,,
,145.3571194,-37.9073645,,,,,,,,,,,,,,,,,,,,,,
,145.1404779,-38.1746725,,,,,,,,,,,,,,,,,,,,,,
,145.1416709,-38.1742002,,,,,,,,,,,,,,,,,,,,,,
,145.5546539,-37.953208,,,,,,,,,,,,,,,,,,,,,,
,145.032806,-37.7725669,,,,,,,,,,,,,,,,,,,,,,
,145.1236972,-37.5112399,,,,,,,,,,,,,,,,,,,,,,
,145.0253118,-37.828703,,no,gas,,,,,,,,,,,,,,,,,,,
,144.9732809,-37.7712617,,no,electric,,,,,,,,,,,,,,,,,,,
,144.9769611,-37.7700508,,no,electric,,,,,,,,,,,,,,,,,,,
,145.5096431,-38.0579371,,yes,electric,,,,,,,,,,,,,,,,,,,
,144.987452,-37.7598247,,no,electric,,,,,,,,,,,,,,,,,,,
,145.2117849,-37.8108249,,,,,,,,,,,,,,,,,,,,,,
,144.9856708,-37.7742821,,no,electric,,,,,,,,,,,,,,,,,,,
,145.0872332,-37.8583623,,,,,,,,,,,,,,,,,,,,,,
,145.0862917,-37.862606,,,,,,,,,,,,,,,,,,,,,,
,145.2367221,-37.8125727,,,,,,,,,,,,,,,,,,,,,,
,145.2382694,-37.8128447,,,,,,,,,,,,,,,,,,,,,,
,145.135443,-38.15324,,,,,,,,,,,,,,,,,,,,,,
,145.1369784,-38.1529573,,,,,,,,,,,,,,,,,,,,,,
,145.1378072,-38.1521472,,,,,,,,,,,,,,,,,,,,,,
,145.1375014,-38.1528074,,,,,,,,,,,,,,,,,,,,,,
,145.1374182,-38.1529572,,,,,,,,,,,,,,,,,,,,,,
,145.1376918,-38.1523771,,,,,,,,,,,,,,,,,,,,,,
,145.1376569,-38.1525268,,,,,,,,,,,,,,,,,,,,,,
,144.9651526,-37.8299788,,,,,,,,,,,,,,,,,,,,,,
,144.9649588,-37.8296543,,,,,,,,,,,,,,,,,,,,,,
,145.140867,-37.908129,,,,,,,,,,,,,,,,,,,,,,
,145.138646,-37.907283,,,,,,,,,,,,,,,,,,,,,,
,145.13966,-37.906978,,,,,,,,,,,,,,,,,,,,,,
,145.140352,-37.907333,,,,,,,,,,,,,,,,,,,,,,
,145.1425669,-37.9060481,,,,,survey,,,,,,,,,,,,,,,,,
,145.2831126,-38.1374171,,,,,,,,,,,,,,,,,,,,,,
,145.283906,-38.1371473,,,,,,,,,,,,,,,,,,,,,,
,145.5370197,-37.6684646,,,,picnic_site,,,,,,,,,,,,,,,,,,
,144.4829258,-37.630382,,,,,,,,,,,,,,,,,,,,,,
,145.2920012,-37.6606797,,,,,,,,,,,,,,,,,,,,,,
,144.9587527,-37.784241,,,,,survey,,,,,,,,,,,,,,,,,
,145.3414399,-38.2158472,,yes,electric,,,,,,,,,,,,,,,,,,,
,145.1849622,-37.766786,,,,picnic_site,,,,,,,,,,,,,,,,,,
,145.102021,-37.635464,,,,,,,,,,,,,,,,,,,,,,
,145.1022537,-37.63588,,,,,,,,,,,,,,,,,,,,,,
,144.980761,-37.413468,,,,,,,,,,,,,,,,,,,,,,
,144.980271,-37.413408,,,,,,,,,,,,,,,,,,,,,,
,145.0862395,-37.7350249,,,,,,,,,,,,,,,,,,,,,,
,145.0885988,-37.7477263,,,,,,,,,,,,,,,,,,,,,,
,145.0465052,-37.8793393,,,,,,,,,,,,,,,,,,,,,,
,145.0735393,-37.7550088,,,,,,,,,,,,,,,,,,,,,,
,145.098109,-37.7516939,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.0985409,-37.751834,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.098308,-37.7518749,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.0987037,-37.7530351,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.098301,-37.7530679,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.0966073,-37.7531374,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.0970277,-37.7533784,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.0966831,-37.7538779,,no,wood,,gps,,,,,,,,,,,,,,,,,
,145.0969027,-37.7539554,,no,wood,,gps,,,,,,,,,,,,,,,,,
